Index,orientation_ego,velocity_ego,orientation_ped,velocity_ped,Min distance,Velocity at min distance,Critical
357,46.009516,2.878033,273.091444,1.967900,0.455487,-2.878033,0
358,31.646207,2.878034,279.731318,2.220425,1.138959,-2.878034,0
359,32.810760,2.880156,278.177099,2.003932,1.528185,-2.880156,0
360,32.364590,2.878758,278.177099,2.003905,1.524733,-2.878758,0
361,52.612173,2.899139,244.520966,1.802720,1.722727,-2.899139,0
362,32.237850,2.938189,270.507128,2.021888,2.062783,-2.938189,0
363,93.956722,2.819431,172.564926,1.415354,0.403684,-2.819431,0
364,82.141717,2.254594,224.304274,1.818762,0.395324,-2.254594,0
365,164.718037,1.047402,220.185199,2.419013,0.386890,-1.047402,0
366,46.009516,2.878033,273.091444,1.982133,0.467999,-2.878033,0
367,32.364590,2.879233,278.177099,2.003905,1.548141,-2.879233,0
368,32.237850,2.890777,172.358429,2.003932,7.034074,-2.890777,0
369,60.370070,2.890469,222.009256,1.997326,2.438038,-2.890469,0
370,32.237850,2.915714,169.787599,2.025701,7.077150,-2.915714,0
371,95.652929,2.751073,203.615537,2.125863,0.412730,-2.751073,0
372,45.811683,2.878033,273.070702,1.982133,0.499287,-2.878033,0
373,31.406394,2.878154,274.925139,2.013438,1.782490,-2.878154,0
374,15.793779,2.879126,278.177099,1.412524,4.337100,-2.879126,0
375,15.793779,2.883053,224.949111,1.402631,6.164747,-2.883053,0
376,32.237850,2.915714,172.358429,2.345139,7.153253,-2.915714,0
377,93.956722,2.819431,172.564926,1.631477,1.038226,-2.819431,0
378,52.282150,2.260626,254.696826,1.879475,0.947688,-2.260626,0
379,91.533036,2.656087,172.564926,1.408163,0.994324,-2.656087,0
380,75.573246,2.878033,221.116209,2.172657,1.187706,-2.878033,0
381,47.011863,2.146119,265.523041,1.789200,0.541640,-2.146119,0
382,82.217930,2.254594,224.304274,2.115481,0.662773,-2.254594,0
383,164.798659,1.047402,220.185199,2.516786,0.510499,-1.047402,0
384,45.959518,2.878034,225.089136,2.220425,3.605878,-2.878034,0
385,11.561740,2.879126,278.177099,1.412524,4.762778,-2.879126,0
386,93.956722,2.772810,172.564926,1.631477,1.173458,-2.772810,0
